,rotated_0,rotated_20,rotated_30,rotated_45,rotated_90,cannyfilter_10,cannyfilter_30,cannyfilter_50,cannyfilter_100,cannyfilter_150,resized_50,resized_100,resized_200,resized_300,inverted,hsi_s1_i1,hsi_s1_i1.3,hsi_s1_i0.7,hsi_s1.5_i1,hsi_s1.5_i1.3,hsi_s1.5_i0.7,hsi_s0.5_i1,hsi_s0.5_i1.3,hsi_s0.5_i0.7,binarized_otsu,grayscale
rotated_0,1.0000,0.0000,0.0000,0.0000,1.0000,0.9152,0.9152,0.9152,0.9152,0.9152,0.9700,0.9967,0.9887,0.9687,0.9152,1.0000,0.9977,1.0000,1.0000,0.9977,1.0000,1.0000,0.9977,1.0000,0.9940,1.0000
rotated_20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rotated_30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rotated_45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rotated_90,1.0000,0.0000,0.0000,0.0000,1.0000,0.9152,0.9152,0.9152,0.9152,0.9152,0.9700,0.9967,0.9887,0.9687,0.9152,1.0000,0.9977,1.0000,1.0000,0.9977,1.0000,1.0000,0.9977,1.0000,0.9940,1.0000
cannyfilter_10,0.9152,0.0000,0.0000,0.0000,0.9152,1.0000,1.0000,1.0000,1.0000,1.0000,0.9058,0.9147,0.9056,0.9114,1.0000,0.9152,0.9165,0.9152,0.9152,0.9164,0.9152,0.9152,0.9165,0.9152,0.9134,0.9152
cannyfilter_30,0.9152,0.0000,0.0000,0.0000,0.9152,1.0000,1.0000,1.0000,1.0000,1.0000,0.9058,0.9147,0.9056,0.9114,1.0000,0.9152,0.9165,0.9152,0.9152,0.9164,0.9152,0.9152,0.9165,0.9152,0.9134,0.9152
cannyfilter_50,0.9152,0.0000,0.0000,0.0000,0.9152,1.0000,1.0000,1.0000,1.0000,1.0000,0.9058,0.9147,0.9056,0.9114,1.0000,0.9152,0.9165,0.9152,0.9152,0.9164,0.9152,0.9152,0.9165,0.9152,0.9134,0.9152
cannyfilter_100,0.9152,0.0000,0.0000,0.0000,0.9152,1.0000,1.0000,1.0000,1.0000,1.0000,0.9058,0.9147,0.9056,0.9114,1.0000,0.9152,0.9165,0.9152,0.9152,0.9164,0.9152,0.9152,0.9165,0.9152,0.9134,0.9152
cannyfilter_150,0.9152,0.0000,0.0000,0.0000,0.9152,1.0000,1.0000,1.0000,1.0000,1.0000,0.9058,0.9147,0.9056,0.9114,1.0000,0.9152,0.9165,0.9152,0.9152,0.9164,0.9152,0.9152,0.9165,0.9152,0.9134,0.9152
